hf0,af0,fd0,hf1,af1,fd1,hf2,af2,fd2,hf3,af3,fd3,hf4,af4,fd4,hf5,af5,fd5,hf6,af6,fd6,hf7,af7,fd7,hf8,af8,fd8,hf9,af9,fd9,he,ae,ed,ee,h0,h1,h2,h3,h4,l0,l1,l2,l3,l4,hs0,as0,hs1,as1,hs2,as2,hs3,as3,hs4,as4,hs5,as5,hs6,as6,hs7,as7,hs8,as8,ad,dd,axd,sd,label,date
0.7333333333333333,1.6666666666666667,-0.9333333333333335,1.0666666666666667,1.6666666666666667,-0.6000000000000001,2.466666666666667,1.2666666666666666,1.2000000000000002,0.2,0.5333333333333333,-0.3333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.6666666666666666,0.4,0.2666666666666666,0.5333333333333333,0.4666666666666667,0.06666666666666665,0.3333333333333333,0.2,0.1333333333333333,0.0,2.0,-2.0,0,0,0,1574.4737017456043,1431.7143773544815,142.75932439112285,0.6946159059846028,0.6,0.4,0.0,3.6,1.8,0.4250309789343247,0.25154894671623296,0.32342007434944237,3.1796778190830235,6.694562058521095,2.2,1.25,1.3,1.6,2.5454545454545454,1.5,0.9090909090909091,1.2,1.7777777777777777,1.0,3.5,2.85,0.55,0.5,0.45,0.5,20.0,20.0,0.9500000000000002,-0.30000000000000004,-0.2850000000000001,0.9110576923076923,1,2026-02-15T16:30:00+00:00
1.3333333333333333,0.8666666666666667,0.46666666666666656,1.0666666666666667,0.8,0.2666666666666666,0.8666666666666667,1.2,-0.33333333333333326,0.3333333333333333,0.13333333333333333,0.19999999999999998,0.3333333333333333,0.4666666666666667,-0.13333333333333336,0.3333333333333333,0.4,-0.06666666666666671,0.4666666666666667,0.4666666666666667,0.0,0.4666666666666667,0.4,0.06666666666666665,1.3333333333333333,0.3333333333333333,1.0,0,0,0,1474.1615897859183,1523.1831776382955,-49.02158785237725,0.4299167191050044,0.0,0.6,0.4,1.8,0.4,0.40059642147117297,0.28727634194831014,0.3121272365805169,2.547713717693837,6.914730892718563,0.9,1.15,0.9,0.9,1.2,1.4,0.6,0.5,0.6,0.9,1.8,2.05,0.5,0.5,0.5,0.5,20.0,20.0,-0.2499999999999999,0.0,-0.0,-0.2777777777777777,2,2026-02-15T17:00:00+00:00
2.2,1.4666666666666666,0.7333333333333336,1.8666666666666667,1.3333333333333333,0.5333333333333334,1.0666666666666667,1.1333333333333333,-0.06666666666666665,0.6666666666666666,0.4,0.2666666666666666,0.2,0.26666666666666666,-0.06666666666666665,0.13333333333333333,0.3333333333333333,-0.19999999999999998,0.4,0.4666666666666667,-0.06666666666666665,0.13333333333333333,0.3333333333333333,-0.19999999999999998,3.0,2.3333333333333335,0.6666666666666665,0,0,0,1459.8040833718937,1483.2999342817184,-23.49585090982464,0.4662382048700921,0.0,1.0,0.0,1.0,0.0,0.4492462311557789,0.26532663316582916,0.28542713567839195,2.634170854271357,6.903747257584598,1.2,1.3,1.7,1.2,1.2222222222222223,1.3333333333333333,2.2222222222222223,0.5555555555555556,1.1818181818181819,1.2727272727272727,2.9,2.5,0.45,0.45,0.55,0.55,20.0,20.0,-0.10000000000000009,0.5,-0.050000000000000044,-0.37745098039215697,2,2026-02-15T17:30:00+00:00
1.6666666666666667,1.7333333333333334,-0.06666666666666665,1.4666666666666666,1.6,-0.13333333333333353,0.7333333333333333,1.9333333333333333,-1.2000000000000002,0.4,0.5333333333333333,-0.1333333333333333,0.4666666666666667,0.13333333333333333,0.33333333333333337,0.13333333333333333,0.3333333333333333,-0.19999999999999998,0.5333333333333333,0.4666666666666667,0.06666666666666665,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666667,0,0,0,1339.0836072892441,1516.613249909619,-177.52964262037494,0.2646491449581484,0.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.4275092936802974,0.25154894671623296,0.32094175960346966,2.731102850061958,6.694562058521095,0.75,1.7,1.45,1.75,0.8,2.0,1.2,1.0,0.7,1.4,2.2,3.45,0.5,0.5,0.5,0.5,20.0,20.0,-0.95,-0.30000000000000004,0.28500000000000003,-0.45418719211822656,0,2026-02-15T18:00:00+00:00
1.2,1.0666666666666667,0.1333333333333333,1.2,1.1333333333333333,0.06666666666666665,1.7333333333333334,1.8666666666666667,-0.1333333333333333,0.3333333333333333,0.26666666666666666,0.06666666666666665,0.2,0.26666666666666666,-0.06666666666666665,0.4666666666666667,0.4666666666666667,0.0,0.4666666666666667,0.5333333333333333,-0.06666666666666665,0.26666666666666666,0.26666666666666666,0.0,2.0,0.3333333333333333,1.6666666666666667,0,0,0,1655.7643340671943,1620.3797780671953,35.384555999999066,0.550747134303922,0.4,0.2,0.4,2.0,1.0,0.4001986097318769,0.2869910625620655,0.3128103277060576,2.548162859980139,6.915723448631314,1.5,1.6,1.25,1.2,1.4,2.2,1.4,0.8,1.6,1.0,2.75,2.8,0.5,0.5,0.5,0.5,20.0,20.0,-0.10000000000000009,0.050000000000000044,-0.005000000000000009,-0.13333333333333353,1,2026-02-15T19:45:00+00:00
2.066666666666667,0.5333333333333333,1.5333333333333337,1.8,0.4,1.4,0.9333333333333333,1.0666666666666667,-0.1333333333333333,0.6,0.06666666666666667,0.5333333333333333,0.26666666666666666,0.3333333333333333,-0.06666666666666665,0.13333333333333333,0.6,-0.4666666666666667,0.5333333333333333,0.5333333333333333,0.0,0.26666666666666666,0.6666666666666666,-0.39999999999999997,2.0,1.0,1.0,0,0,0,1605.0731310485328,1518.4919307048506,86.58120034368221,0.6220835932757904,0.6,0.2,0.2,2.6,1.8,0.44554455445544555,0.23143564356435645,0.32301980198019803,2.8366336633663365,6.695798917058491,1.0,1.0,1.65,0.55,1.2727272727272727,1.2,1.7272727272727273,0.2,0.6666666666666666,0.8,2.65,1.55,0.55,0.5,0.45,0.5,20.0,20.0,0.0,1.0999999999999999,0.0,-1.212121212121212,0,2026-02-15T19:45:00+00:00
1.7333333333333334,0.8666666666666667,0.8666666666666667,1.3333333333333333,1.0666666666666667,0.2666666666666666,0.8666666666666667,1.2,-0.33333333333333326,0.4,0.13333333333333333,0.2666666666666667,0.5333333333333333,0.4666666666666667,0.06666666666666665,0.06666666666666667,0.4,-0.33333333333333337,0.4666666666666667,0.4666666666666667,0.0,0.26666666666666666,0.4,-0.13333333333333336,1.6666666666666667,0.6666666666666666,1.0,0,0,0,1466.647165027328,1587.9546114150344,-121.30744638770648,0.33218884937535487,0.2,0.8,0.0,2.0,0.4,0.44879518072289154,0.26506024096385544,0.286144578313253,2.6335341365461846,6.904750769961838,0.9,1.1,1.2,1.0,0.9,1.3,0.8,0.4,0.9,0.9,2.1,2.1,0.5,0.5,0.5,0.5,20.0,20.0,-0.20000000000000007,0.19999999999999996,-0.04000000000000001,-0.3500000000000001,2,2026-02-15T20:00:00+00:00
0.4666666666666667,1.4,-0.9333333333333332,1.0666666666666667,1.2,-0.1333333333333333,2.1333333333333333,0.8666666666666667,1.2666666666666666,0.13333333333333333,0.3333333333333333,-0.19999999999999998,0.06666666666666667,0.4,-0.33333333333333337,0.8,0.26666666666666666,0.5333333333333334,0.5333333333333333,0.4666666666666667,0.06666666666666665,0.3333333333333333,0.26666666666666666,0.06666666666666665,1.0,1.6666666666666667,-0.6666666666666667,0,0,0,1729.6537470649357,1515.2239410450907,214.42980601984505,0.7745802739445141,1.0,0.0,0.0,2.4,2.0,0.4282178217821782,0.25123762376237624,0.32054455445544555,2.7314356435643563,6.695798917058491,2.9,0.95,0.95,1.2,3.3636363636363638,1.1111111111111112,0.6363636363636364,1.3333333333333333,2.3333333333333335,0.8181818181818182,3.85,2.15,0.55,0.45,0.45,0.55,20.0,20.0,1.95,-0.25,-0.4875,2.260964912280702,0,2026-02-15T20:30:00+00:00
1.8666666666666667,1.3333333333333333,0.5333333333333334,1.8,1.3333333333333333,0.4666666666666668,1.0,1.1333333333333333,-0.1333333333333333,0.5333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.5333333333333333,-0.26666666666666666,0.2,0.2,0.0,0.5333333333333333,0.5333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.0,1.3333333333333333,1.0,0.33333333333333326,0,0,0,1456.7805970799002,1415.2281955419744,41.55240153792579,0.5595152233986789,0.4,0.2,0.4,2.6,1.6,0.3998015873015873,0.2876984126984127,0.3125,2.5496031746031744,6.9167150203536085,0.95,1.0,1.65,1.3,1.3,1.2,1.6,1.2,0.6,0.8,2.6,2.3,0.5,0.5,0.5,0.5,20.0,20.0,-0.050000000000000044,0.34999999999999987,-0.01750000000000001,-0.19347319347319336,2,2026-02-16T19:45:00+00:00
0.3333333333333333,0.4666666666666667,-0.13333333333333336,1.2,0.9333333333333333,0.2666666666666666,2.2666666666666666,1.8666666666666667,0.3999999999999999,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.26666666666666666,-0.13333333333333333,0.8,0.6666666666666666,0.13333333333333341,0.5333333333333333,0.5333333333333333,0.0,0.26666666666666666,0.4666666666666667,-0.2,0.3333333333333333,0.3333333333333333,0.0,0,0,0,1480.950935057665,1744.054485543201,-263.10355048553606,0.18026608517548628,0.4,0.6,0.0,5.0,2.2,0.4483450351053159,0.26479438314944836,0.2868605817452357,2.633901705115346,6.905753276311464,2.3,2.0,1.2,1.2,2.5,2.1,1.3,1.1,2.1,1.9,3.5,3.2,0.5,0.5,0.5,0.5,20.0,20.0,0.2999999999999998,0.0,0.0,0.24999999999999978,0,2026-02-16T20:00:00+00:00
1.6,1.4,0.20000000000000018,1.4,1.5333333333333334,-0.13333333333333353,1.2666666666666666,1.4666666666666666,-0.19999999999999996,0.4,0.4,0.0,0.4,0.2,0.2,0.2,0.4,-0.2,0.4666666666666667,0.4666666666666667,0.0,0.2,0.2,0.0,3.0,1.3333333333333333,1.6666666666666667,0,0,0,1565.9873994547568,1579.8191397458545,-13.83174029109773,0.4801050350989866,1.0,0.0,0.0,3.6,3.0,0.44407233757535164,0.2592096450100469,0.29671801741460146,2.563965170797053,7.309212365692763,1.3,1.55,1.15,1.55,1.2,1.1,0.7,0.9,1.4,2.0,2.45,3.1,0.5,0.5,0.5,0.5,20.0,20.0,-0.25,-0.40000000000000013,0.10000000000000003,0.1304347826086958,0,2026-02-16T20:00:00+00:00
1.8,0.9333333333333333,0.8666666666666667,1.6,0.8666666666666667,0.7333333333333334,1.0666666666666667,1.3333333333333333,-0.2666666666666666,0.4666666666666667,0.2,0.26666666666666666,0.4,0.3333333333333333,0.06666666666666671,0.13333333333333333,0.4666666666666667,-0.33333333333333337,0.5333333333333333,0.4666666666666667,0.06666666666666665,0.13333333333333333,0.5333333333333333,-0.4,1.6666666666666667,0.6666666666666666,1.0,0,0,0,1447.1801388151875,1490.0329562642005,-42.852817449012946,0.4386406730146526,0.4,0.4,0.2,3.0,1.2,0.4289245982694685,0.25092707045735474,0.32014833127317677,2.7292954264524103,6.697034247666484,1.0,1.25,1.45,1.2,1.4,1.4444444444444444,1.4,1.3333333333333333,0.6,1.0909090909090908,2.45,2.45,0.5,0.45,0.5,0.55,20.0,20.0,-0.25,0.25,-0.0625,-0.3520114942528736,2,2026-02-16T20:15:00+00:00
1.7142857142857142,1.2,0.5142857142857142,1.7142857142857142,1.4,0.3142857142857143,1.3571428571428572,1.4666666666666666,-0.10952380952380936,0.5,0.26666666666666666,0.23333333333333334,0.21428571428571427,0.4,-0.18571428571428575,0.2857142857142857,0.3333333333333333,-0.047619047619047616,0.5,0.4666666666666667,0.033333333333333326,0.14285714285714285,0.2,-0.05714285714285716,1.3333333333333333,1.3333333333333333,0.0,0,0,0,1481.9188288614341,1554.2475918493187,-72.3287629878846,0.397388617401969,0.0,0.0,0.0,0.0,0.0,0.49563318777292575,0.16812227074235808,0.33624454148471616,3.2947598253275108,6.129050210060545,1.3571428571428572,1.4444444444444444,1.7142857142857142,1.1666666666666667,1.5714285714285714,1.7777777777777777,1.5714285714285714,1.1111111111111112,1.1428571428571428,1.1111111111111112,3.0714285714285716,2.611111111111111,0.5,0.5,0.5,0.5,14.0,18.0,-0.08730158730158721,0.5476190476190474,-0.047808012093726315,-0.4464285714285712,0,2026-02-17T17:45:00+00:00
1.4,1.4,0.0,1.3333333333333333,1.7333333333333334,-0.40000000000000013,1.3333333333333333,1.8,-0.4666666666666668,0.4,0.3333333333333333,0.06666666666666671,0.2,0.4,-0.2,0.4,0.26666666666666666,0.13333333333333336,0.4666666666666667,0.5333333333333333,-0.06666666666666665,0.26666666666666666,0.13333333333333333,0.13333333333333333,2.0,1.0,1.0,0,0,0,1531.7820457338978,1565.5883119843068,-33.80626625040895,0.4515018313714433,0.2,0.4,0.4,2.4,1.0,0.4400977995110024,0.25183374083129584,0.3080684596577017,3.141809290953545,6.70808408385307,1.25,1.95,1.35,1.6,1.0,2.1818181818181817,1.7,1.3636363636363635,1.5,1.6666666666666667,2.6,3.55,0.5,0.55,0.5,0.45,20.0,20.0,-0.7,-0.25,0.175,-0.2928240740740742,1,2026-02-17T19:00:00+00:00
1.1333333333333333,1.8,-0.6666666666666667,0.8,1.8666666666666667,-1.0666666666666667,1.0666666666666667,1.0666666666666667,0.0,0.26666666666666666,0.4666666666666667,-0.2,0.3333333333333333,0.4,-0.06666666666666671,0.4,0.13333333333333333,0.2666666666666667,0.4666666666666667,0.4666666666666667,0.0,0.4,0.13333333333333333,0.2666666666666667,1.3333333333333333,1.3333333333333333,0.0,0,0,0,1487.5836195656796,1455.4419889868734,32.141630578806144,0.5461240186853218,0.0,1.0,0.0,3.0,1.0,0.4444444444444444,0.25903614457831325,0.2965194109772423,2.5649263721552877,7.3098814858247865,1.0,1.25,1.3,1.75,1.2222222222222223,1.3,1.2222222222222223,1.1,0.8181818181818182,1.2,2.3,3.0,0.45,0.5,0.55,0.5,20.0,20.0,-0.25,-0.44999999999999996,0.11249999999999999,0.05494505494505486,2,2026-02-17T19:45:00+00:00
1.4,1.2,0.19999999999999996,1.0666666666666667,1.2666666666666666,-0.19999999999999996,1.0666666666666667,1.3333333333333333,-0.2666666666666666,0.4,0.26666666666666666,0.13333333333333336,0.2,0.4,-0.2,0.4,0.3333333333333333,0.06666666666666671,0.5333333333333333,0.5333333333333333,0.0,0.26666666666666666,0.26666666666666666,0.0,2.0,0.3333333333333333,1.6666666666666667,0,0,0,1515.2938020722904,1532.2621122843261,-16.968310212035703,0.4756000353416572,0.0,1.0,0.0,2.0,0.0,0.44414715719063547,0.2588628762541806,0.29698996655518395,2.565886287625418,7.310550158534422,1.05,1.2,1.1,1.15,1.3,1.5,1.2,1.3,0.8,0.9,2.15,2.35,0.5,0.5,0.5,0.5,20.0,20.0,-0.1499999999999999,-0.04999999999999982,0.0074999999999999685,-0.08893280632411071,1,2026-02-17T19:45:00+00:00
1.3333333333333333,1.4,-0.06666666666666665,1.6666666666666667,1.2,0.4666666666666668,1.4666666666666666,1.4,0.06666666666666665,0.3333333333333333,0.4,-0.06666666666666671,0.3333333333333333,0.2,0.1333333333333333,0.3333333333333333,0.4,-0.06666666666666671,0.4666666666666667,0.5333333333333333,-0.06666666666666665,0.26666666666666666,0.26666666666666666,0.0,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0,0,0,1514.41010515694,1587.6293674690755,-73.21926231213547,0.3961617073723521,0.0,0.0,0.0,0.0,0.0,0.49673202614379086,0.16775599128540306,0.3355119825708061,3.3028322440087146,6.131226489483141,1.3333333333333333,1.65,1.7222222222222223,1.2,1.4444444444444444,1.7,0.8888888888888888,1.0,1.2222222222222223,1.6,3.0555555555555554,2.85,0.5,0.5,0.5,0.5,18.0,20.0,-0.31666666666666665,0.5222222222222224,-0.16537037037037042,-0.6008064516129034,2,2026-02-17T20:00:00+00:00
1.0666666666666667,0.4,0.6666666666666666,1.0666666666666667,1.3333333333333333,-0.2666666666666666,1.6,2.3333333333333335,-0.7333333333333334,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.2,-0.13333333333333336,0.6,0.7333333333333333,-0.1333333333333333,0.4666666666666667,0.4666666666666667,0.0,0.3333333333333333,0.26666666666666666,0.06666666666666665,1.0,1.0,0.0,0,0,0,1677.0214251834834,1610.748334990747,66.27309019273639,0.5942344898215893,1.0,0.0,0.0,6.0,4.0,0.4956521739130435,0.1673913043478261,0.33695652173913043,3.3065217391304347,6.133398042996649,1.6,2.45,1.05,1.5,1.5555555555555556,2.8,1.0,1.4,1.6363636363636365,2.1,2.65,3.95,0.45,0.5,0.55,0.5,20.0,20.0,-0.8500000000000001,-0.44999999999999996,0.3825,-0.1095238095238098,2,2026-02-17T20:00:00+00:00
